Date,Open,High,Low,Close,Adj Close,Volume
2022-04-27,5.740000,5.920000,5.680000,5.750000,5.750000,1810800
2022-04-28,5.810000,5.960000,5.570000,5.890000,5.890000,1454800
2022-04-29,5.900000,5.960000,5.730000,5.770000,5.770000,1503100
2022-05-02,5.710000,5.770000,5.360000,5.640000,5.640000,2557300
2022-05-03,5.540000,5.860000,5.540000,5.750000,5.750000,1234000
2022-05-04,5.870000,5.920000,5.570000,5.890000,5.890000,1537900
2022-05-05,5.890000,5.890000,5.430000,5.620000,5.620000,1439700
2022-05-06,5.600000,5.640000,5.310000,5.430000,5.430000,1283200
2022-05-09,5.290000,5.390000,4.890000,4.920000,4.920000,2809500
2022-05-10,4.100000,5.100000,4.100000,4.840000,4.840000,3848300
2022-05-11,4.840000,5.080000,4.770000,4.850000,4.850000,1994400
2022-05-12,4.750000,4.880000,4.580000,4.650000,4.650000,2859900
2022-05-13,4.760000,4.990000,4.710000,4.860000,4.860000,1953800
2022-05-16,4.850000,5.100000,4.780000,4.810000,4.810000,1909000
2022-05-17,4.880000,4.950000,4.810000,4.880000,4.880000,1242000
2022-05-18,4.870000,4.870000,4.390000,4.480000,4.480000,1786700
2022-05-19,4.420000,4.500000,4.260000,4.330000,4.330000,1449400
2022-05-20,4.360000,4.370000,3.860000,4.150000,4.150000,2376700
2022-05-23,4.240000,4.500000,4.170000,4.450000,4.450000,1464900
2022-05-24,4.400000,4.400000,4.180000,4.260000,4.260000,1291600
2022-05-25,4.190000,4.490000,4.170000,4.450000,4.450000,1266900
2022-05-26,4.470000,4.590000,4.370000,4.500000,4.500000,1297600
2022-05-27,4.490000,4.690000,4.480000,4.630000,4.630000,1006000
2022-05-31,4.680000,4.770000,4.390000,4.450000,4.450000,1314800
2022-06-01,4.500000,4.710000,4.450000,4.560000,4.560000,1476400
2022-06-02,4.540000,4.770000,4.430000,4.650000,4.650000,1355600
2022-06-03,4.600000,4.680000,4.500000,4.650000,4.650000,1133400
2022-06-06,4.700000,4.750000,4.440000,4.740000,4.740000,1383400
2022-06-07,4.670000,4.890000,4.580000,4.870000,4.870000,1017900
2022-06-08,4.860000,5.050000,4.850000,5.030000,5.030000,1274500
2022-06-09,4.970000,5.150000,4.890000,5.070000,5.070000,1552000
2022-06-10,4.980000,5.070000,4.800000,4.940000,4.940000,1554200
2022-06-13,4.780000,5.030000,4.550000,4.750000,4.750000,2493800
2022-06-14,4.820000,4.880000,4.560000,4.650000,4.650000,1443400
2022-06-15,4.670000,4.920000,4.600000,4.840000,4.840000,2014400
2022-06-16,4.730000,5.000000,4.610000,4.750000,4.750000,2669700
2022-06-17,4.800000,4.950000,4.240000,4.390000,4.390000,13407500
2022-06-21,4.460000,4.530000,4.270000,4.470000,4.470000,2186600
2022-06-22,4.300000,4.360000,4.030000,4.070000,4.070000,2454200
2022-06-23,4.090000,4.150000,3.760000,3.960000,3.960000,2664400
2022-06-24,3.980000,4.070000,3.850000,4.000000,4.000000,2468200
2022-06-27,4.080000,4.290000,3.990000,4.210000,4.210000,1753200
2022-06-28,4.280000,4.320000,4.070000,4.090000,4.090000,1213900
2022-06-29,4.090000,4.100000,3.680000,3.710000,3.710000,1731300
